start,duration
519990,3792
3447306,8538
7447283,5193
7821274,11184
11447298,4412
11482821,11149
15447274,4465
15940116,10945
19447271,5024
19560288,10968
23447281,49882
27447270,5376
31447301,3537
35447255,3542
39447256,6372
43447303,4997
47447278,4702
51447295,4056
55447269,10939
59447251,6087
63447280,3888
66852054,2745
67447310,3034
71447280,3368
71472609,7015
75447253,2661
79447279,2751
83447272,3563
87447268,2457
91447269,2487
95447262,2750
99447265,2685
103447263,2754
107447283,3017
111447277,3103
115447272,2693
119447275,5212
123447285,3202
127447292,3052
131447270,3774
135447285,3557
139447284,3484
143447283,4677
147447269,3970
151447297,3835
155447291,3228
159447300,3301
163447272,3953
167447295,3614
171447259,3207
175447276,2743
179447283,4781
183447265,3915
187447272,2731
191447251,2996
195447271,2695
199447273,2527
203447269,2723
207447274,2831
211447270,3039
215447259,2974
219447269,2750
223447253,3195
226203197,29117
227447279,3189
231447274,2735
235447260,2431
239447291,4641
243447269,2836
247447275,2700
251447266,2662
255447271,2905
259447261,2728
263447287,2714
267037664,22254
267447268,4265
267881444,7158
271447293,3108
275447267,2932
279447264,2945
283447250,3222
287447280,2992
291447278,2537
291589417,2588
295447259,3354
299447275,4565
303447254,2832
307447263,2797
311447261,7755
315447272,2844
315662746,9674
316067233,6706
316616093,6663
319447255,3271
323447263,3809
327447274,3050
331447274,2795
335447275,2785
339447267,2943
343447275,4574
347447298,3923
351447283,3939
355447261,3397
359447284,14013
363447292,4029
367447286,3134
371447259,2659
375447286,3002
379447256,3128
383447273,3698
387447282,2596
391447285,2722
395447268,2527
399447265,2728
403447253,2736
407447281,2702
411447287,2819
414899212,3199
415447312,2699
419447272,6153
423447256,4910
427447267,2845
431447266,2573
435447277,2500
439447269,2628
443447272,2680
447447276,2453
451447295,2534
455447266,2600
459447273,2641
463447262,2466
467447258,2467
471447275,2703
475447273,2474
479447264,4754
483447276,7700
487447267,2799
491447274,2544
495447256,2756
499447275,2717
503447270,2533
507447274,2975
511447285,3011
515447278,2703
519447272,2719
523447258,3265
527447257,2659
531447263,3008
535447278,2480
539447275,3773
543447271,4677
547447282,3959
547511291,2832
551447265,3823
555447294,3444
559447276,3500
563447277,3520
567447271,2842
571447267,2862
575447282,2495
579447276,2429
583447260,3311
587447284,2914
591447280,2441
595447268,2503
599447294,3705
603447275,2760
607447266,2708
611447264,2470
615447280,2523
619447273,2468
623447267,3712
627447276,2473
631295371,20232
631417230,7077
631447278,4832
631516549,6536
632074629,6050
632178086,6214
632265108,5951
632357280,5935
632477093,5819
632668570,6004
632754593,5874
635447305,5686
639447287,7197
643447281,4357
647447275,3745
651447298,3648
655447266,6403
657932008,20277
658070256,6510
658170616,5509
658269926,5635
658365163,5841
658455282,5361
658544394,5516
658633454,5168
658722535,5166
659447313,11612
659992337,8346
663447276,17287
667447304,7453
671447300,4802
675447291,15439
679447291,4162
683447288,4708
687447290,3361
691447289,3488
695447264,3727
699447299,3646
703447286,11412
707447279,3940
711447266,3587
715447283,3628
719447287,6028
723447295,4731
727447274,3688
731447270,3567
735447283,3426
739447299,3595
743447300,4748
747447307,5273
751447268,3637
755447269,3855
759447302,3587
763447297,3521
767447286,3622
771447275,3004
775447255,2876
779447283,3610
783447288,3905
787447259,2536
791447257,2709
795447288,2703
799447265,2482
803447269,3091
807447263,2476
811447293,2657
815447273,2677
819447273,2427
823447268,3305
827447292,2753
831447271,2705
835447276,15105
839447260,3950
843447280,2779
847447267,4316
851447301,4928
855447281,3581
859447290,3506
863447280,3807
867447284,12821
871447284,3524
875447275,3410
879447282,3666
883447295,3168
887447269,2491
891447284,2696
895447271,2510
899447278,11738
903447278,2793
907447278,2495
911447266,2745
915447270,2453
919447274,2859
923447255,2882
927447264,2701
931447263,2695
935447282,2690
939447262,2796
942887573,3404
943447304,4561
947447285,3915
951447299,3749
955447292,3282
959447288,4599
963447297,3999
964773217,2416
967447286,2829
971447258,3321
975447282,2688
