start,duration
122,62
184,94
278,30
308,31
339,30
369,33
402,25
427,30
457,31
488,30
518,25
543,30
573,31
604,23
627,31
658,32
690,33
723,24
747,30
777,32
809,30
839,24
863,30
893,31
924,23
947,32
979,30
1009,31
1040,23
1063,32
1095,30
1125,24
1149,33
1182,30
1212,31
1243,23
1266,32
1298,30
1328,31
1359,23
1382,32
1414,30
1444,24
1468,30
1498,31
1529,30
1559,25
1584,30
1614,33
1647,23
1670,31
1701,30
1731,32
1763,22
1785,32
1817,30
1847,24
1871,30
1901,32
1933,30
1963,24
1987,30
2017,32
2049,22
2071,32
2103,31
2134,30
2164,25
2189,30
2219,31
2250,30
2280,25
2305,31
2336,30
2366,24
2390,30
2420,32
2452,30
2482,24
2506,30
2536,32
2568,24
2592,30
2622,32
2654,30
2684,24
2708,30
2738,31
2769,23
2792,32
2824,30
2854,31
2885,23
2908,32
2940,30
2970,31
3001,23
3024,31
3055,30
3085,25
3110,30
3140,31
3171,30
3201,25
3226,30
3256,31
3287,23
3310,31
3341,31
3372,31
3403,23
3426,31
3457,30
3487,25
3512,30
3542,31
3573,30
3603,25
3628,30
3658,31
3689,23
3712,31
3743,30
3773,32
3805,23
3828,31
3859,30
3889,25
3914,30
3944,31
3975,30
4005,24
4029,30
4059,32
4091,23
4114,31
4145,30
4175,32
4207,23
4230,31
4261,30
4291,32
4323,22
4345,32
4377,30
4407,24
4431,30
4461,32
4493,30
4523,24
4547,30
4577,32
4609,23
4632,31
4663,30
4693,32
4725,22
4747,32
4779,30
4809,24
4833,30
4863,32
4895,30
4925,24
4949,30
4979,32
5011,22
5033,32
5065,30
5095,31
5126,23
5149,32
5181,30
5211,24
5235,30
5265,32
5297,30
5327,24
5351,30
5381,31
5412,23
5435,32
5467,30
5497,31
5528,23
5551,32
5583,30
5613,31
5644,23
5667,31
5698,31
5729,24
5753,30
5783,31
5814,30
5844,25
5869,30
5899,31
5930,23
5953,32
5985,30
6015,31
6046,23
6069,31
6100,30
6130,25
6155,30
6185,31
6216,32
6248,23
6271,31
6302,30
6332,24
6356,30
6386,32
6418,30
6448,24
6472,30
6502,32
6534,23
6557,31
6588,30
6618,32
6650,22
6672,32
6704,30
6734,31
6765,23
6788,32
6820,30
6850,24
6874,30
6904,32
6936,30
6966,24
6990,30
7020,31
7051,23
7074,32
7106,30
7136,31
7167,23
7190,32
7222,30
7252,24
7276,30
7306,32
7338,30
7368,24
7392,30
7422,31
7453,23
7476,32
7508,30
7538,31
7569,23
7592,32
7624,30
7654,24
7678,30
7708,31
7739,30
7769,25
7794,30
7824,31
7855,23
7878,32
7910,30
7940,31
7971,23
7994,31
8025,30
8055,32
8087,23
8110,31
8141,30
8171,25
8196,30
8226,31
8257,30
8287,24
8311,31
8342,31
8373,23
8396,31
8427,30
8457,32
8489,23
8512,31
8543,30
8573,25
8598,30
8628,31
8659,30
8689,24
8713,30
8743,32
8775,23
8798,31
8829,30
8859,32
8891,23
8914,31
8945,30
8975,24
8999,30
9029,32
9061,30
9091,24
9115,30
9145,32
9177,23
9200,31
9231,30
9261,32
9293,23
9316,31
9347,30
9377,31
9408,23
9431,32
9463,30
9493,24
9517,30
9547,32
9579,30
9609,24
9633,30
9663,32
9695,22
9717,32
9749,30
9779,31
9810,23
9833,32
9865,30
9895,24
9919,30
9949,32
9981,30
10011,24
10035,30
10065,31
10096,23
10119,32
10151,30
10181,31
10212,23
10235,32
10267,30
10297,24
10321,30
10351,31
10382,30
10412,25
10437,30
10467,31
10498,23
10521,32
10553,30
10583,31
10614,23
10637,31
10668,31
10699,31
10730,23
10753,31
10784,30
10814,25
10839,30
10869,31
10900,30
10930,25
10955,30
10985,31
11016,23
11039,31
11070,30
11100,32
11132,23
11155,31
11186,30
11216,25
11241,30
11271,31
11302,30
11332,24
11356,30
11386,32
11418,23
11441,31
11472,30
11502,32
11534,23
11557,31
11588,30
11618,24
11642,31
11673,31
11704,30
11734,24
11758,30
11788,32
11820,23
11843,31
11874,30
11904,32
11936,23
11959,31
11990,30
12020,32
12052,22
12074,32
12106,30
12136,24
12160,30
12190,32
12222,30
12252,24
12276,30
12306,32
12338,22
12360,32
12392,30
12422,31
12453,23
12476,32
12508,30
12538,24
12562,30
12592,32
12624,30
12654,24
12678,30
12708,31
12739,23
12762,32
12794,30
12824,31
12855,23
12878,32
12910,30
12940,33
12973,22
12995,32
13027,30
13057,24
13081,30
13111,32
13143,30
13173,24
13197,30
13227,32
13259,23
13282,31
13313,30
13343,31
13374,23
13397,35
13432,33
13465,31
13496,23
13519,31
13550,30
13580,25
13605,30
13635,31
13666,30
13696,25
13721,30
13751,31
13782,23
13805,34
13839,30
13869,32
13901,23
13924,31
13955,30
13985,32
14017,23
14040,31
14071,30
14101,24
14125,30
14155,32
14187,30
14217,24
14241,30
14271,32
14303,23
14326,31
14357,30
14387,32
14419,22
14441,32
14473,30
14503,31
14534,23
14557,32
14589,30
14619,24
14643,30
14673,32
14705,30
14735,24
14759,30
14789,31
14820,23
14843,32
14875,30
14905,31
14936,26
14962,37
14999,30
15029,32
15061,23
15084,31
15115,33
15148,30
15178,24
15202,30
15232,32
15264,23
15287,31
15318,30
15348,32
15380,23
15403,31
15434,33
15467,31
15498,23
15521,32
15553,30
15583,24
15607,30
15637,32
15669,30
15699,24
15723,30
15753,31
15784,23
15807,32
15839,30
15869,31
15900,25
15925,31
15956,30
15986,32
16018,22
16040,32
16072,30
16102,24
16126,30
16156,32
16188,30
16218,24
16242,30
16272,32
16304,22
16326,32
16358,30
16388,31
16419,23
16442,32
16474,30
16504,24
16528,30
16558,32
16590,30
16620,24
16644,30
16674,31
16705,23
16728,32
16760,30
16790,31
16821,26
16847,30
16877,32
16909,30
16939,24
16963,30
16993,31
17024,23
17047,32
17079,30
17109,31
17140,23
17163,32
17195,30
17225,24
17249,30
17279,33
17312,31
17343,23
17366,32
17398,30
17428,31
17459,23
17482,32
17514,31
17545,23
17568,31
17599,30
17629,32
17661,23
17684,31
17715,30
17745,25
17770,30
17800,31
17831,30
17861,24
17885,30
17915,32
17947,23
17970,31
18001,30
18031,32
18063,23
18086,31
18117,30
18147,32
18179,22
18201,32
18233,30
18263,24
18287,30
18317,32
18349,30
18379,24
18403,30
18433,32
18465,23
18488,31
18519,30
18549,31
18580,23
18603,32
18635,30
18665,24
18689,30
18719,32
18751,30
18781,24
18805,30
18835,32
18867,22
18889,32
18921,30
18951,31
18982,23
19005,32
19037,30
19067,24
19091,30
19121,32
19153,30
19183,24
19207,30
19237,31
19268,23
19291,32
19323,30
19353,31
19384,23
19407,32
19439,30
19469,31
19500,23
19523,31
19554,30
19584,25
19609,31
19640,30
19670,32
19702,23
19725,31
19756,30
19786,24
19810,30
19840,32
19872,30
19902,24
19926,30
19956,32
19988,23
20011,31
20042,30
20072,32
20104,23
20127,31
20158,30
20188,24
20212,30
20242,32
20274,30
20304,24
20328,30
20358,32
20390,23
20413,31
20444,30
20474,32
20506,22
20528,32
20560,30
20590,31
20621,23
20644,32
20676,30
20706,24
20730,30
20760,32
20792,30
20822,24
20846,30
20876,31
20907,23
20930,32
20962,30
20992,31
21023,23
21046,32
21078,30
21108,24
21132,30
21162,31
21193,31
21224,24
21248,30
21278,31
21309,23
21332,32
21364,30
21394,31
21425,23
21448,32
21480,30
21510,24
21534,30
21564,31
21595,30
21625,25
21650,30
21680,31
21711,23
21734,32
21766,30
21796,31
21827,23
21850,31
21881,30
21911,32
21943,23
21966,31
21997,30
22027,25
22052,30
22082,31
22113,30
22143,24
22167,30
22197,32
22229,23
22252,31
22283,30
22313,32
22345,23
22368,31
22399,30
22429,25
22454,30
22484,31
22515,30
22545,24
22569,30
22599,32
22631,23
22654,31
22685,30
22715,32
22747,23
22770,31
22801,30
22831,24
22855,30
22885,32
22917,30
22947,24
22971,30
23001,32
23033,23
23056,31
23087,30
23117,32
23149,22
23171,32
23203,30
23233,31
23264,23
23287,32
23319,30
23349,24
23373,30
23403,32
23435,30
23465,24
23489,30
23519,31
23550,23
23573,32
23605,30
23635,31
23666,23
23689,32
23721,33
23754,31
23785,23
23808,31
23839,30
23869,25
23894,30
23924,31
23955,30
23985,25
24010,30
24040,31
24071,23
24094,31
24125,30
24155,32
24187,23
24210,31
24241,30
24271,25
24296,30
24326,31
24357,30
24387,24
24411,31
24442,31
24473,23
24496,31
24527,30
24557,32
24589,23
24612,31
24643,30
24673,25
24698,30
24728,31
24759,30
24789,24
24813,30
24843,32
24875,23
24898,31
24929,30
24959,32
24991,23
25014,31
25045,30
25075,32
25107,22
25129,32
25161,30
25191,24
25215,30
25245,32
25277,30
25307,24
25331,30
25361,32
25393,22
25415,32
25447,30
25477,31
25508,23
25531,32
25563,30
25593,24
25617,30
25647,32
25679,30
25709,24
25733,30
25763,31
25794,23
25817,32
25849,30
25879,31
25910,23
25933,32
25965,30
25995,24
26019,30
26049,32
26081,30
26111,24
26135,30
26165,31
26196,23
26219,32
26251,30
26281,31
26312,23
26335,32
26367,30
26397,31
26428,23
26451,31
26482,30
26512,25
26537,30
26567,31
26598,30
26628,25
26653,30
26683,31
26714,23
26737,31
26768,31
26799,31
26830,23
26853,31
26884,30
26914,25
26939,30
26969,31
27000,30
27030,25
27055,30
27085,31
27116,23
27139,31
27170,30
27200,32
27232,23
27255,31
27286,30
27316,25
27341,30
27371,31
27402,30
27432,24
27456,30
27486,32
27518,23
27541,31
27572,30
27602,32
27634,23
27657,31
27688,32
27720,31
27751,23
27774,31
27805,30
27835,25
27860,30
